"Receipt","Academic Director - Life Sciences","Academic Director - Humanities","Academic Director - Computer Science","Academic Director - Mathematical and Physical Sciences","Academic Director - Rotman Commerce","Academic Director - Social Sciences","Division I Director, Woodsworth College","Division I Director, University College","Division I Director, Victoria University in the University of Toronto","President","Vice-President, Campus Life","Vice-President, Equity","Vice-President, External","Vice-President, Internal and Services","Vice-President, Professional Faculties","Vice-President, University Affairs","Director - Architecture","Director - Dentistry","Director - Engineering and Applied Sciences","Director - Medicine","Director, Nursing","Director - Pharmacy","Director - Professional Faculty At-Large","Director - Theology","Referendum Question 1","Referendum Question 2"
"YRR8","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","",""
"YRXV","","Abstain","","Yes","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"YRYR","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Abstain","Abstain","Abstain","Charlotte Mengxi Shen, Ryan Gomes","Abstain","","","Abstain","","","","Abstain","","Abstain","Yes"
"YS8C","","Yes","","","","","Ifrah Farah, Sebastian Salomon, Christina Badiola, Ahmad Ilyas","","","Madina Siddiqui","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"YSGX","","","","Yes","","Abstain","","Abstain","","Abstain","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"YSKQ","","","","Abstain","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Abstain","","Andy Edem","","","","","","","","","Abstain","Abstain"
"YSYX","","","","","","","","","","Jasmine Wong Denike","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","","","","","","","Abstain","","Yes","Yes"
"YT2K","","","","","","","","","","Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu","Lucinda Jing Qu","Carina Zhang, Mathias Memmel","Ryan Gomes, Charlotte Mengxi Shen","Abstain","","","","","Yes","","Abstain","","Yes","Yes"
"YT6R","","","","Yes","","Yes","","","Stephanie Spagnuolo","Jasmine Wong Denike","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Yes","Yes"
"YTBQ","","Abstain","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Andre Fast, Lucinda Jing Qu","Abstain","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","No"
"YTN7","","","","Yes","","","","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Abstain","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Abstain","Abstain"
"YTRW","","","","","","","","","","Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Andy Edem, Shawn Williams","","","Addy Bhatia","","","","Abstain","","No","Abstain"
"YTS8","","","","","","Yes","","","Stephanie Spagnuolo, Garnet Lollar","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Andy Edem","","","","","","","","","Yes","Yes"
"YTTP","","Yes","","","","Yes","Christina Badiola, Ahmad Ilyas, Ifrah Farah, Sebastian Salomon","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"YTZ2","","","","","","","","","","Madina Siddiqui","Abstain","Malkeet Sandhu","Andre Fast","Carina Zhang","","Shawn Williams","","","","","","","","","",""
"YV35","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Addy Bhatia, Andrew Sweeny, Danja Papajani","","","","Faizan Akbani, Sophia Wang","","Yes","No"
"YV4N","","","Abstain","","","","","","","Madina Siddiqui","Shahin Imtiaz","Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams","","","","","","","","","No","Abstain"
"YVHH","","Abstain","","","","Abstain","Abstain","","","Madina Siddiqui","Abstain","Abstain","Abstain","Abstain","","Andy Edem","","","","","","","","","Abstain","Yes"
"YVJG","","Yes","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Yes"
"YVQR","","Yes","","","","Yes","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"YVXQ","","","","Abstain","","Abstain","","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Andy Edem","","","","","","","","","Abstain","Abstain"
"YW8Z","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Charlotte Mengxi Shen, Ryan Gomes","Abstain","","","Abstain","","","","Abstain","","No","Abstain"
"YWYM","Yes","","","","","Yes","","","Stephanie Spagnuolo, Garnet Lollar","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Yes"
"YXRQ","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","",""
"YXSF","","Yes","","Yes","","","","","Abstain","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"YY2C","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","",""
"YZ7F","","Yes","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"YZ9S","","Yes","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Abstain"
"YZCD","","","","","","Yes","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Lucinda Jing Qu","Abstain","","Abstain","","","","","","","","","No","No"
"YZDD","","","","","","Abstain","","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","No"
"YZJZ","","","","","","Yes","Sebastian Salomon, Ifrah Farah, Christina Badiola, Ahmad Ilyas","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Abstain"
"YZKN","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Shawn Williams","","","","","","","","","",""
"YZQM","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Shawn Williams, Andy Edem","","","Addy Bhatia","","","","Abstain","","Abstain","Abstain"
"YZRJ","","","Abstain","Abstain","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"YZX7","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","",""
"YZYK","","","","","Abstain","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"Z26B","","Yes","","Yes","","","","Abstain","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Shawn Williams","","","","","","","","","No","No"
"Z2CX","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","","","","","Faizan Akbani, Sophia Wang","","No","Yes"
"Z2D8","Abstain","","","","","","","","","Abstain","Abstain","Malkeet Sandhu","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"Z2GC","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Andrew Sweeny, Addy Bhatia, Danja Papajani","","","","Faizan Akbani, Sophia Wang","","Abstain","No"
"Z2K6","","","","","","Yes","Sebastian Salomon, Ifrah Farah, Ahmad Ilyas, Christina Badiola","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Abstain","Abstain","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"Z2KP","Abstain","","","","","","","","","Madina Siddiqui","Abstain","Abstain","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","No","Abstain"
"Z2PM","Abstain","Abstain","","","","Abstain","","","","Madina Siddiqui","Abstain","Malkeet Sandhu","Andre Fast","Abstain","","Abstain","","","","","","","","","Yes","Yes"
"Z2WS","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Charlotte Mengxi Shen, Ryan Gomes","Andy Edem, Shawn Williams","Veronika Potylitsina, Marienka Bishop-Kovac","","","","","","Sophia Wang, Faizan Akbani","","No","No"
"Z2XN","","","","","","Abstain","Abstain","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"Z343","","","","","","No","","Kshemani Constantinescu, Ryan Hume, Mira El Hussein, Chimwemwe Alao","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","No","No"
"Z37W","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Andy Edem, Shawn Williams","","","","","","","Sophia Wang, Faizan Akbani","","No","Abstain"
"Z37Y","","","","","Abstain","","","Abstain","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu","Andre Fast","Abstain","","Andy Edem","","","","","","","","","Abstain","Abstain"
"Z393","","","","","Yes","","Abstain","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Abstain","Abstain"
"Z3DY","","","Yes","Abstain","","","","Abstain","","Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","No","No"
"Z3KZ","Yes","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","No","Yes"
"Z3SC","","Yes","","","","Yes","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Yes"
"Z3T7","","","","","","","","","Stephanie Spagnuolo","Jasmine Wong Denike","Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Andy Edem","","","","","","","","","No","No"
"Z43M","Yes","","","","","","Abstain","","","Madina Siddiqui","Abstain","Abstain","Andre Fast","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"Z488","","","","Yes","","","Abstain","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Abstain","Carina Zhang","","Andy Edem","","","","","","","","","Abstain","No"
"Z4BM","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Abstain","Abstain","Abstain","Ryan Gomes","Abstain","","","","Yes","","","Faizan Akbani, Sophia Wang","","Yes","Yes"
"Z4G3","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","","","","","Sophia Wang, Faizan Akbani","","No","No"
